Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
ELMAZ TARRAF COMERC.,Servicepartner,"AV. VEREADOR CICERO IDELFONSO, 1534, 30855-000 BELO HORIZONTE, Brasilien, , ",+55(31)33894000,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





FUTURA CAMINHOES,Servicepartner,"AV. BRASIL SUL, 3697, 75124-820 ANAPOLIS, Brasilien, , ",+55(62)33119600,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GAMA DIESEL,Servicepartner,"Rua Projetada, 555, Br 101, Km 01, 58088-200 Joao Pessoa, Brasilien, , ",+55(83)32155666,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GAPLAN CAMINHOES,Servicepartner,"RODOVIA BR 491, KM 251 (S/N), 37062-405 VARGINHA, Brasilien, , ",+55(35)32294200,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GAPLAN CAMINHOES,Servicepartner,"RODOVIA ANHANGUERA KM 314,7, 14079-000 RIBEIRAO PRETO, Brasilien, , ",+55(16)36154000,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GAPLAN CAMINHOES,Servicepartner,"ROD. D. PEDRO I, KM 144,8, 13069-900 CAMPINAS, Brasilien, , ",+55(19)37811200,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GAPLAN CAMINHOES,Servicepartner,"Av. Ministro Roberto Cardoso Alves, 1895, 13840-970 Mogi-guacu, Brasilien, , ",+55(19)38180500,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GAPLAN VEICULOS,Servicepartner,"Rodovia Br 040 Km 628,5, 36400-000 Conselheiro Lafaiete, Brasilien, , ",+55(31)36467445,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GERMANYA COMERC,Servicepartner,"RODOVIA RAPOSO TAVARES SP 270 - KM553 - S/N, 19575-000 REGENTE FEIJO, Brasilien, , ",+55(18)21011400,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GERMANYA COMERC.,Servicepartner,"RODOVIA PR-317, N 6555, SAIDA PARA CAMPO MOURAO, 87065-005 MARINGA, Brasilien, , ",+55(44)21014100,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GERMANYA COMERC. CAMINHOES,Servicepartner,"Rodovia Raposo TAvarés Sp 270 Km 553, 19575-000 Regente Feijo, Brasilien, , ",+55(18)21011400,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GRANFER CAMINHOES,Servicepartner,"AVENIDA MARCELINO PIRES, 7110, 79833-001 Dourados, Brasilien, , ",+55(67)34167100,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GRANFER CAMINHOES,Servicepartner,"AV.RANULPHO MARQUES LEAL, 150, 79620-340 Tres Lagoas, Brasilien, , ",+55(67)35090500,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GRANFER CAMINHOES,Servicepartner,"AV.COSTA E SILVA, 3341, 79063-900 Campo Grande, Brasilien, , ",+55(67)33989898,,,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





HGV VEICULOS,Servicepartner,"Av. Joao Gomes De Lucena, 56912-000 Serra Talhada, Brasilien, , ",+55(87)88637937,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





ICAVEL VEICULOS,Servicepartner,"AVENIDA OLIMPIO RAFAGNIN, Nº. 3333, 84938430/0003-0 Foz do Iguacu, Brasilien, , ",+55(45)30267400,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





ICAVEL VEICULOS,Servicepartner,"RODOVIA BR 277 KM 582,6, 85818-560 Cascavel, Brasilien, , ",+55(45)21016000,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





ICAVEL VEICULOS,Servicepartner,"RODOVIA PR 483, 1771, 85601-195 FRANCISCO BELTRAO, Brasilien, , ",+55(46)32116000,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





ICAVEL VEICULOS,Servicepartner,"Rua Tucurui, N 351, 85045-302 Guarapuava, Brasilien, , ",+55(42)36241414,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





L. F. CAMINHOES,Servicepartner,"R PLINIO ARLINDO DE NEZ ACES BR 282,4100, 89805-290 CHAPECO, Brasilien, , ",+55(49)33195500,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





M. DIESEL CAMINHOES,Servicepartner,"Avenida Ayrton Senna da Silva, S/N - Setor Industrial, 78.098-000 Cuiabá, Brasilien, , ",+55(65)21214000,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MAGGI CAMINHOES,Servicepartner,"EST. MUNICIPAL DO JACU, 75, 13310-220 Itu, Brasilien, , ",+55(11)40137600,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MAGGI CAMINHOES,Servicepartner,"VIA MARGINAL, EM FRENTE A RODOVIA RAPOSO TAVARES, KM 168,5, N 1277, 18200-000 Itapetininga, Brasilien, , ",+55(15)32718583,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MAGGI COMERC,Servicepartner,"AVENIDA ARMANDO GIASSETTI, 300, 13214-525 JUNDIAI, Brasilien, , ",+55(11)45897000,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MANDACARU MOTOR,Servicepartner,"AV.JOSE PINHEIRO DOS SANTOS,870, 55032-640 CARUARU, Brasilien, , ",+55(81)37278900,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MARKA,Servicepartner,"RUA ALZIRO ZARUR, 760, 16026-000 ARACATUBA, Brasilien, , ",+55(18)36318800,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MARKA VEICULOS,Servicepartner,"R JOAQUIM PELEGRINA LOPES, QD 3, N 50, 17064-851 Bauru, Brasilien, , ",+55(14)31092500,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MARKA VEICULOS,Servicepartner,"RODOVIA WASHINGTON LUIS, KM 268,2, 14808-080 Araraquara, Brasilien, , ",+55(16)33013700,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MARKA VEICULOS,Servicepartner,"AV. DEP. ZIEN NASSIF, 560, 17203-570 JAU, Brasilien, , ",+55(14)36022500,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MONACO,Servicepartner,"ROD. BR 316 - KM 06 - S/N, 67020-000 ANANINDEUA, Brasilien, , ",+55(91)30755000,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MONACO DIESEL,Servicepartner,"Av. Bonifácio Sachetti - Lei 5426, 78745-001 Rondonopolis, Brasilien, , ",+55(66)21013550,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MONACO DIESEL CAMINHOES,Servicepartner,"Rua Colonizador Enio Pipino, 4977, 78550-000 Sinop, Brasilien, , ",+55(66)21013550,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MONACO DIESEL CAMINHOES,Servicepartner,"AV.PREFEITO WALL FERRAZ, 13277, 64039-200 TERESINA, Brasilien, , ",+55(86)40092500,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MONACO DIESEL CAMINHOES,Servicepartner,"AV.DOS CURIS, BR 135 KM 04, 65095-460 Sao Luis, Brasilien, , ",+55(98)40092500,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MONDIAL VEICULOS,Servicepartner,"RODOVIA BR 386 KM 346, S/N, 95900-000 LAJEADO, Brasilien, , ",+55(51)37144433,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MONVEP CAMINHOES,Servicepartner,"AVENIDA DEPUTADO PLINIO RIBEIRO, 1749, 39401-474 MONTES CLAROS, Brasilien, , ",+55(38)32183800,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





NACIONAL NORTE,Servicepartner,"AV.CARLOS ALBERTO CHEBABE, 1.754, 28073-506 CAMPOS DOS GOITACAZES, Brasilien, , ",+55(22)27376600,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





NACIONAL RIO DE JANEIRO,Servicepartner,"Rod. BR101,S/N, 24800-000 Itaborai, Brasilien, , ",+55(21)26451101,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





NASA CAMINHOES,Servicepartner,"ADE CONJUNTO 02 - LOTE 01, S/N, 71735-720 BRASILIA, Brasilien, , ",+55(61)33999000,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





NASA CAMINHOES COMERC.,Servicepartner,"Rodovia Br-060, Km 421, N. 1443, 75905-700 Rio Verde, Brasilien, , ",+55(64)36113000,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





NATIVA CAMINHOES,Servicepartner,"AV. AIRTON BORGES DA SILVA, Nº 1530, 38402-333 UBERLANDIA, Brasilien, , ",+55(34)32304000,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





NOVO MUNDO CAMINHOES,Servicepartner,"ROD. BR 101 KM 82,9 LOTE 7A, 54345-160 JABOATAO DOS GUARARAPES, Brasilien, , ",+55(81)21382300,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





ORVEL ORLETTI CAMINHOES,Servicepartner,"RODOVIA BR 101, S/N, KM 137, 29915-140 LINHARES, Brasilien, , ",+55(27)33737000,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





PALMA E CIA LTDA,Servicepartner,"AVENIDA MARGINAL ESQUERDA, Nº 2955, 14620-000 ORLANDIA, Brasilien, , ",+55(16)38216500,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





PAMPEIRO CAMINHOES,Servicepartner,"ROD. BR 392 KM 1 NO. 3500, 97070-160 SANTA MARIA, Brasilien, , ",+55(55)32111213,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





PIRACEMA VEICULOS,Servicepartner,"ESTRADA ANTONIO ABDALLA, 1010, 13424-700 PIRACICABA, Brasilien, , ",+55(19)34118138,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





R.F.COMÉRCIO DE CAMINHÕES LTDA.,Servicepartner,"R Januario Pereira De Lima, 88135-380 Palhoça, Brasilien, , ",+55(48)32415398,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





RETIMAQ RETIFICA,Servicepartner,"AV.SOUZA NAVES,3455, 84062-000 PONTA GROSSA, Brasilien, , ",+55(42)32194533,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





REZENDE CAMINHOES,Servicepartner,"AV. TANCREDO NEVES, 640, 69050-000 Manaus, Brasilien, , ",+55(92)36460400,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





RF SUL COMER.,Servicepartner,"RODOVIA BR 101 KM 381, 88820-000 ICARA, Brasilien, , ",+55(48)34687600,,,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





SANTA EMILIA CAMINHOES,Servicepartner,"Rodovia Candido Portinari Km 394,3, 14406-000 FRANCA, Brasilien, , ",+55(16)21044444,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





SANTA EMILIA CAMINHOES,Servicepartner,"ROD. ANHANGUERA - KM 306 720 MTS, 14097-140 RIBEIRAO PRETO, Brasilien, , ",+55(16)21021100,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





SERVOPA CAMINHOES,Servicepartner,"RODOVIA MELLO PEIXOTO, 1200, 86185-700 CAMBE, Brasilien, , ",+55(43)32496000,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





SERVOPA CAMINHOES,Servicepartner,"Rodovia Br 116 , No. 21130, 81690-500 Curitiba, Brasilien, , ",+55(41)32126000,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





SUDESTE CAMINHOES,Servicepartner,"Rodovia BR 040 KM 782, 36.088-410 Juiz de Fora, Brasilien, , ",+55(32)32213588,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





SULPARA CAMINHOES,Servicepartner,"FI CSI 29 QD 01 LT 11 ROD. PA 150, KM07, 68506-670 MARABA, Brasilien, , ",+55(94)21038700,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TIETE VEICULOS,Servicepartner,"AV.MARGINAL DIREITA DO R.TIETE, 700, 05118-100 SAO PAULO, Brasilien, , ",+55(11)36222000,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TIETE VEICULOS,Servicepartner,"Av. Anton Von Zuben, 1.721, 13051-145 Campinas, Brasilien, , ",+55(19)37293000,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TOCAUTO CAMINHOES,Servicepartner,"ROD. BELEM/BRASILA - BR 010 - KM. 1352, 65917-220 IMPERATRIZ, Brasilien, , ",+55(99)21013200,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TRANSRIO,Servicepartner,"Av. Bernardo Sayao 1164, 77818-340 ARAGUAINA, Brasilien, , ",+55(63)32193600,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TRANSRIO CAMINHOES,Servicepartner,"RODOVIA PRESIDENTE DUTRA, 1450, 21535-502 RIO DE JANEIRO, Brasilien, , ",+55(21)21073838,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TRANSRIO CAMINHOES,Servicepartner,"RODOVIA BR 290, KM 108, 92990-000 ELDORADO DO SUL, Brasilien, , ",+55(51)34813570,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TRANSRIO CAMINHOES,Servicepartner,"AV. SENADOR SALGADO FILHO, 555, 93110-350 SÃO LEOPOLDO, Brasilien, , ",+55(51)35797100,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TRANSRIO CAMINHOES,Servicepartner,"Av. Jayme Guilherme Muratore Filho, 557, 95034-970 Caxias Do Sul, Brasilien, , ",+55(54)32097900,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TRANSRIO CAMINHOES,Servicepartner,"Rodovia Br 116, Km 523, 96100-000 Pelotas, Brasilien, , ",+55(53)32711123,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TRANSRIO CAMINHOES,Servicepartner,"912 Sul Alameda 3, 77023-482 Palmas, Brasilien, , ",+55(63)32193600,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TRANSRIO CAMINHOES,Servicepartner,"Avenida Henry Nestle, 3600, 12286-140 Caçapava, Brasilien, , ",+55(12)36529290,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TRANSRIO CAMINHOES,Servicepartner,"Rodovia Presidente Dutra s/n Km 304, 27536-000 Resende, Brasilien, , ",+55(24)33551580,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TRANSRIO SERGIPE,Servicepartner,"Rodovia Br 101 - Km 92, 49160-000 NOSSA SENHORA DO SOCORRO, Brasilien, , ",+55(79)32121600,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





VEMINAS CAMINHOES,Servicepartner,"PRACA ANTONIO MOURAO GUIMARAES, 100, 32210-170 CONTAGEM, Brasilien, , ",+55(31)33699000,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





VENEZA DIESEL,Servicepartner,"AV.M.MASCARENHAS DE MORAIS, 1413, 51150-000 Recife, Brasilien, , ",+55(81)21294200,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





VENEZA DIESEL CAMINHOES,Servicepartner,"AV. BOM PASTOR, S/N, 55292-270 GARANHUNS, Brasilien, , ",+55(87)37628950,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





VIA DIESEL DISTR DE VEICULOS LTDA,Servicepartner,"ROD.BR 101, S/NO., KM 8, 59149-090 PARNAMIRIM, Brasilien, , ",+55(84)40051715,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





VIDECAR CAMINHOES,Servicepartner,"RODOVIA BR 282 KM 389 TREVO OESTE, 89600-000 JOACABA, Brasilien, , ",+55(49)35221844,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





VIDECAR CONCORDIA,Servicepartner,"Rua Tancredo Neves 3435, 89700-000 Concordia, Brasilien, , ",+55(49)34425056,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





