Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility,Mitarbeiter-Name,Mitarbeiter-Position,Mitarbeiter-Contact
Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility,Mitarbeiter-Name,Mitarbeiter-Position,Mitarbeiter-Contact
Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility,Mitarbeiter-Name,Mitarbeiter-Position,Mitarbeiter-Contact
GARAGE B. STUDER AG,Servicepartner                      Verkaufsstandort des Händlers -MAN Truck & Bus Schweiz AG-,"Industriezone Basper 17, 3942 Raron, Schweiz, , ",+41 (0) 27 946 29 02,,info@bstuderag.com,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
GARAGE BARRAS & FILS SA,Servicepartner,"Route du Verdel 10, 1630 Bulle, Schweiz, , ",+41 (26) 919 83 30,+41 (26) 919 83 47,info@garage-barras.ch,http://www.garage-barras.ch,yes,no,yes,,,yes,,yes,,,,,,,,,,,,,,,,,
GARAGE CHARLY TROILLET SA,Servicepartner,"Ch Grély 18, 1950 Sion, Schweiz, , ",+41 (27) 329 05 05,+41 (27) 329 05 00,garagetroillet@bluewin.ch,,yes,no,yes,,,yes,,yes,,,,,,,,,,,,,,,,,
GARAGE MERZAGHI SA,Servicepartner,"Via Siegfried Bieber 39, 6817 Maroggia, Schweiz, , ",+41 (91) 649 81 94,+41 (91) 649 44 35,info@garagemerzaghi.ch,,yes,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,
GARAGE NEPPLE AG,Servicepartner                      Verkaufsstandort des Händlers -Garage Nepple AG Basel-,"Industriestraße 30, 4415 Lausen, Schweiz, , ",+41 (61) 923 07 70,+41 (61) 923 07 71,info@garage-nepple.ch,http://www.garage-nepple.ch,yes,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,
GARAGE NEPPLE AG BASEL,Servicepartner,"Hochbergerstrasse 60, 4057 Basel, Schweiz, , ",+41 (61) 638 87 00,+41 (61) 638 87 01,basel@garage-nepple.ch,,yes,yes,yes,,,yes,,yes,,,,,,,,,,,,,,,,,
GARAGE OTTO MEIER AG,Servicepartner,"Andelfingerstraße 16, 8416 Flaach, Schweiz, , ",+41 (52) 305 30 30,+41 (52) 305 30 50,info@garage-meier.ch,http://www.garage-meier.ch,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,Philipp Bürgi,Geschäftsführer,"Telefon: +41 (52) 305 30 45 ,                Mobil: +41 (78) 707 15 04 ,                Fax: +41 (52) 305 30 50 ,                E-Mail: philipp.buergi@garage-meier.ch ,            "
GATTONI MAINTENANCE POIDS LOURDS SA,Servicepartner,"Rue du Closillon, 1870 Monthey, Schweiz, , ",+41 (24) 471 16 61,+41 (24) 471 93 64,info@garage-gattoni.ch,http://www.garage-gattoni.ch,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,
GEBR. KNECHT AG,Servicepartner                      Verkaufsstandort des Händlers -MAN Truck & Bus Schweiz AG-,"Schwimmbadstrasse 4, 5210 Windisch, Schweiz, , ",+41 (0) 56 461 65 65,,info@knecht.ch,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
HUWAG NUTZFAHRZEUGE AG,Servicepartner,"Haltelhusstrasse 12, 9402 Mörschwil, Schweiz, , ",+41 (71) 866 26 26,+41 (71) 866 26 29,info@huwag.ch,http://www.huwag.ch,yes,yes,yes,,,yes,,yes,,,,,,,,,yes,,,,,,,,,Marco Egeter,Werkstattmeister BUSWerkstattmeister LKW,"Telefon: +41 (71) 868 70 39 ,                Mobil: - ,                Fax: +41 (71) 866 26 29 ,                E-Mail: marco.egeter@huwag.ch ,            "
MAN TRUCK & BUS SCHWEIZ AG,MAN-Servicebetrieb,"Tannstrasse 1, 8112 Otelfingen, Schweiz, , ",+41 (44) 847 12 00,+41 (44) 847 12 35,MTB.Schweiz@man.eu,http://www.mantruckandbus.ch,yes,yes,yes,,,yes,yes,yes,,,yes,yes,,,,,yes,,,,,,yes,,
MAN TRUCK & BUS SCHWEIZ AG,MAN-Servicebetrieb                      Verkaufsstandort des Händlers -MAN Truck & Bus Schweiz AG-,"Im Chies 23, 8604 Volketswil, Schweiz, , ",+41 (0) 44 908 11 00,+41 (0) 44 908 11 09,man-volketswil@man.eu,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
MAN TRUCK & BUS SUISSE SA,MAN-Servicebetrieb,"Ch. de la Venoge 1, 1030 Bussigny, Schweiz, , ",+41 (21) 703 55 55,+41 (21) 703 55 50,man-bussigny@man.eu,http://www.mantruckandbus.ch,yes,yes,yes,,,yes,yes,yes,,,,,,,,,yes,,,,,,,,
NUTZFAHRZEUG AG ZENTRALSCHWEIZ,Servicepartner,"Bahnhofstrasse 17, 6056 Kägiswil / Sarnen, Schweiz, , ",+41 (41) 666 77 00,+41 (41) 666 77 01,info@nufag-zs.ch,http://www.nufag-zs.ch,yes,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,
NUTZFAHRZEUG AG ZENTRALSCHWEIZ,Servicepartner,"Hasliring 18, 6032 Emmen, Schweiz, , ",+41 (41) 269 00 00,+41 (41) 269 00 01,info@nufag-zs.ch,http://www.nufag-zs.ch,yes,yes,yes,,,yes,,yes,,,,,,,,,yes,,,,,,,,
NUTZFAHRZEUGE LACHEN AG,Servicepartner,"Feldmoosstrasse 43, 8853 Lachen, Schweiz, , ",+41 (55) 451 06 20,+41 (55) 451 06 21,info@nutzfahrzeuge-lachen.ch,http://www.nutzfahrzeugelachen.ch,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,
RECAM SA,Servicepartner,"Route de Soleure 4, 2072 St-Blaise NE, Schweiz, , ",+41 (32) 756 00 70,+41 (32) 756 00 71,administration.recam@a-reinhard.ch,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,Daniel Bapst,Leiter WerkstattBetriebsleiter,"Telefon: +41 (32) 756 00 74 ,                Mobil: +41 (79) 222 74 93 ,                Fax: +41 (32) 756 00 71 ,                E-Mail: daniel.bapst@recamsa.ch ,            ",Patrice Nussbaum,Werkstattmitarbeiter LKWWerkstattmitarbeiter Bus,"Telefon: +41 (32) 756 00 78 ,                Mobil: - ,                Fax: - ,                E-Mail: patrice.nussbaum@a-reinhard.ch ,            ",Jose Novo,Leiter Teile und Zubehör,"Telefon: +41 (32) 756 00 77 ,                Mobil: - ,                Fax: - ,                E-Mail: jose.novo@recamsa.ch ,            "
SCANIA SCHWEIZ AG,Servicepartner                      Verkaufsstandort des Händlers -MAN Truck & Bus Schweiz AG-,"Felsenaustrasse 49, 7000 Chur, Schweiz, , ",+41 (81) 286 91 91,+41 (81) 286 91 90,chur@scania.ch,http://www.scania-chur.ch,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
STÜSSI NUTZFAHRZEUGE AG,Servicepartner,"Gewerbezone Schneisingen, 8752 Näfels, Schweiz, , ",+41 (55) 612 27 12,+41 (55) 612 42 67,info@stuessi-nfz.ch,http://www.stuessi-nfz.ch,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
